"day","time","simplifiedLongitude","simplifiedLatitude","date","incidentGroup","borough","ward","firstPumpTime","firstPumpStation","telefonicaGridId","footfall","score"
"Sunday","16",0.024,51.461,2009-12-06,"Fire","Greenwich","Lee Green",292,"Lee Green","1122333124314",206,0.08
"Sunday","18",0.024,51.461,2009-05-17,"Fire","Greenwich","Lee Green",289,"Lee Green","1122333124314",12,0.04
"Sunday","18",0.024,51.461,2009-05-17,"Fire","Greenwich","Lee Green",289,"Lee Green","1122333124314",203,0.08
"Sunday","19",0.024,51.461,2009-04-05,"Fire","Greenwich","Lee Green",246,"Lee Green","1122333124314",10,0.04
"Sunday","19",0.024,51.461,2009-04-05,"Fire","Greenwich","Lee Green",246,"Lee Green","1122333124314",177,0.08
"Sunday","19",0.03,51.463,2009-05-10,"Special Service","Greenwich","Lee Green",277,"Lee Green","1122333124314",10,0.04
"Sunday","19",0.03,51.463,2009-05-10,"Special Service","Greenwich","Lee Green",277,"Lee Green","1122333124314",177,0.08
"Sunday","20",0.024,51.461,2009-09-20,"Fire","Greenwich","Lee Green",282,"Lee Green","1122333124314",10,0.04
"Sunday","20",0.024,51.461,2009-09-20,"Fire","Greenwich","Lee Green",282,"Lee Green","1122333124314",151,0.08
"Sunday","20",0.0255,51.461,2011-09-18,"Fire","Greenwich","Lee Green",294,"Lee Green","1122333124314",10,0.04
"Sunday","20",0.0255,51.461,2011-09-18,"Fire","Greenwich","Lee Green",294,"Lee Green","1122333124314",151,0.08
"Sunday","20",0.0285,51.461,2011-10-23,"Special Service","Greenwich","Lee Green",233,"Lee Green","1122333124314",10,0.04
"Sunday","20",0.0285,51.461,2011-10-23,"Special Service","Greenwich","Lee Green",233,"Lee Green","1122333124314",151,0.08
"Sunday","21",0.0285,51.462,2010-10-17,"Fire","Greenwich","Lee Green",312,"Lee Green","1122333124314",141,0.08
"Sunday","21",0.0285,51.462,2010-10-17,"Fire","Greenwich","Lee Green",312,"Lee Green","1122333124314",10,0.04
"Sunday","23",0.03,51.463,2009-01-04,"Fire","Greenwich","Lee Green",268,"Lee Green","1122333124314",6,0.03
"Sunday","23",0.03,51.463,2009-01-04,"Fire","Greenwich","Lee Green",268,"Lee Green","1122333124314",95,0.07
"Sunday","23",0.024,51.462,2009-08-02,"False Alarm","Greenwich","Lee Green",310,"Lee Green","1122333124314",6,0.03
"Sunday","23",0.024,51.462,2009-08-02,"False Alarm","Greenwich","Lee Green",310,"Lee Green","1122333124314",95,0.07
"Sunday","6",0.03,51.463,2009-01-04,"Special Service","Greenwich","Lee Green",363,"Lee Green","1122333124314",3,0.02
"Sunday","6",0.03,51.463,2009-01-04,"Special Service","Greenwich","Lee Green",363,"Lee Green","1122333124314",48,0.06
"Sunday","8",0.03,51.463,2012-09-09,"False Alarm","Greenwich","Lee Green",228,"Lee Green","1122333124314",95,0.08
"Sunday","8",0.03,51.463,2012-09-09,"False Alarm","Greenwich","Lee Green",228,"Lee Green","1122333124314",6,0.03
"Sunday","8",0.0285,51.461,2009-02-15,"Special Service","Greenwich","Lee Green",860,"Lee Green","1122333124314",95,0.06
"Sunday","8",0.0285,51.461,2009-02-15,"Special Service","Greenwich","Lee Green",860,"Lee Green","1122333124314",6,0.03
"Thursday","0",0.03,51.461,2009-01-01,"Special Service","Greenwich","Lee Green",522,"East Greenwich","1122333124314",67,0.06
"Thursday","0",0.03,51.461,2009-01-01,"Special Service","Greenwich","Lee Green",522,"East Greenwich","1122333124314",4,0.02
"Thursday","0",0.03,51.463,2009-11-05,"False Alarm","Greenwich","Lee Green",1096,"East Greenwich","1122333124314",67,0.05
"Thursday","0",0.03,51.463,2009-11-05,"False Alarm","Greenwich","Lee Green",1096,"East Greenwich","1122333124314",4,0.02
"Thursday","10",0.024,51.463,2010-11-04,"False Alarm","Greenwich","Lee Green",357,"Eltham","1122333124314",11,0.04
"Thursday","10",0.024,51.463,2010-11-04,"False Alarm","Greenwich","Lee Green",357,"Eltham","1122333124314",192,0.08
"Thursday","11",0.027,51.464,2010-07-15,"False Alarm","Greenwich","Lee Green",290,"Eltham","1122333124314",12,0.04
"Thursday","11",0.027,51.464,2010-07-15,"False Alarm","Greenwich","Lee Green",290,"Eltham","1122333124314",172,0.08
"Thursday","13",0.024,51.461,2010-02-11,"Fire","Greenwich","Lee Green",482,"Eltham","1122333124314",177,0.08
"Thursday","13",0.024,51.461,2010-02-11,"Fire","Greenwich","Lee Green",482,"Eltham","1122333124314",13,0.04
"Thursday","15",0.024,51.463,2009-09-17,"False Alarm","Greenwich","Lee Green",298,"Lee Green","1122333124314",217,0.08
"Thursday","15",0.024,51.463,2009-09-17,"False Alarm","Greenwich","Lee Green",298,"Lee Green","1122333124314",15,0.04
"Thursday","18",0.024,51.463,2011-03-10,"False Alarm","Greenwich","Lee Green",222,"Lee Green","1122333124314",18,0.05
"Thursday","18",0.024,51.463,2011-03-10,"False Alarm","Greenwich","Lee Green",222,"Lee Green","1122333124314",332,0.1
"Thursday","18",0.024,51.463,2011-03-10,"False Alarm","Greenwich","Lee Green",271,"Lee Green","1122333124314",18,0.05
"Thursday","18",0.024,51.463,2011-03-10,"False Alarm","Greenwich","Lee Green",271,"Lee Green","1122333124314",332,0.09
"Thursday","6",0.024,51.463,2011-04-21,"False Alarm","Greenwich","Lee Green",358,"Lee Green","1122333124314",6,0.03
"Thursday","6",0.024,51.463,2011-04-21,"False Alarm","Greenwich","Lee Green",358,"Lee Green","1122333124314",164,0.08
"Thursday","9",0.03,51.463,2009-11-05,"False Alarm","Greenwich","Lee Green",448,"Lee Green","1122333124314",12,0.04
"Thursday","9",0.03,51.463,2009-11-05,"False Alarm","Greenwich","Lee Green",448,"Lee Green","1122333124314",204,0.08
"Tuesday","12",0.027,51.464,2010-10-19,"Special Service","Greenwich","Lee Green",293,"East Greenwich","1122333124314",13,0.04
"Tuesday","12",0.027,51.464,2010-10-19,"Special Service","Greenwich","Lee Green",293,"East Greenwich","1122333124314",159,0.08
"Tuesday","12",0.0285,51.461,2011-05-03,"Fire","Greenwich","Lee Green",590,"East Greenwich","1122333124314",13,0.04
"Tuesday","12",0.0285,51.461,2011-05-03,"Fire","Greenwich","Lee Green",590,"East Greenwich","1122333124314",159,0.07
"Tuesday","14",0.0285,51.461,2009-10-20,"Special Service","Greenwich","Lee Green",302,"Lee Green","1122333124314",173,0.08
"Tuesday","14",0.0285,51.461,2009-10-20,"Special Service","Greenwich","Lee Green",302,"Lee Green","1122333124314",12,0.04
"Tuesday","15",0.024,51.463,2009-10-20,"False Alarm","Greenwich","Lee Green",587,"Lewisham","1122333124314",215,0.08
"Tuesday","15",0.024,51.463,2009-10-20,"False Alarm","Greenwich","Lee Green",587,"Lewisham","1122333124314",15,0.04
"Tuesday","15",0.03,51.463,2009-06-16,"Fire","Greenwich","Lee Green",416,"Eltham","1122333124314",215,0.08
"Tuesday","15",0.03,51.463,2009-06-16,"Fire","Greenwich","Lee Green",416,"Eltham","1122333124314",15,0.04
"Tuesday","15",0.024,51.463,2009-09-22,"False Alarm","Greenwich","Lee Green",210,"Lee Green","1122333124314",215,0.09
"Tuesday","15",0.024,51.463,2009-09-22,"False Alarm","Greenwich","Lee Green",210,"Lee Green","1122333124314",15,0.05
"Tuesday","15",0.024,51.463,2009-09-22,"False Alarm","Greenwich","Lee Green",296,"Lee Green","1122333124314",215,0.08
"Tuesday","15",0.024,51.463,2009-09-22,"False Alarm","Greenwich","Lee Green",296,"Lee Green","1122333124314",15,0.04
"Tuesday","16",0.027,51.464,2011-11-08,"False Alarm","Greenwich","Lee Green",602,"Eltham","1122333124314",16,0.04
"Tuesday","16",0.027,51.464,2011-11-08,"False Alarm","Greenwich","Lee Green",602,"Eltham","1122333124314",253,0.08
"Tuesday","17",0.027,51.464,2011-11-29,"False Alarm","Greenwich","Lee Green",287,"Lee Green","1122333124314",19,0.05
"Tuesday","17",0.027,51.464,2011-11-29,"False Alarm","Greenwich","Lee Green",287,"Lee Green","1122333124314",337,0.09
"Tuesday","2",0.024,51.462,2010-08-03,"False Alarm","Greenwich","Lee Green",662,"Eltham","1122333124314",2,0.02
"Tuesday","2",0.024,51.462,2010-08-03,"False Alarm","Greenwich","Lee Green",662,"Eltham","1122333124314",34,0.05
"Tuesday","20",0.024,51.461,2010-03-16,"Fire","Greenwich","Lee Green",296,"Lee Green","1122333124314",182,0.08
"Tuesday","20",0.024,51.461,2010-03-16,"Fire","Greenwich","Lee Green",296,"Lee Green","1122333124314",12,0.04
"Tuesday","5",0.024,51.463,2011-11-29,"False Alarm","Greenwich","Lee Green",342,"Lee Green","1122333124314",3,0.02
"Tuesday","5",0.024,51.463,2011-11-29,"False Alarm","Greenwich","Lee Green",342,"Lee Green","1122333124314",64,0.06
"Tuesday","9",0.024,51.463,2009-09-01,"False Alarm","Greenwich","Lee Green",253,"Lee Green","1122333124314",12,0.04
"Tuesday","9",0.024,51.463,2009-09-01,"False Alarm","Greenwich","Lee Green",253,"Lee Green","1122333124314",213,0.09
"Wednesday","0",0.0285,51.461,2009-09-16,"Fire","Greenwich","Lee Green",345,"Lee Green","1122333124314",4,0.02
"Wednesday","0",0.0285,51.461,2009-09-16,"Fire","Greenwich","Lee Green",345,"Lee Green","1122333124314",65,0.06
"Wednesday","10",0.027,51.464,2011-11-23,"False Alarm","Greenwich","Lee Green",287,"Lee Green","1122333124314",174,0.08
"Wednesday","10",0.027,51.464,2011-11-23,"False Alarm","Greenwich","Lee Green",287,"Lee Green","1122333124314",13,0.04
"Wednesday","11",0.024,51.461,2009-06-10,"Special Service","Greenwich","Lee Green",422,"Eltham","1122333124314",164,0.08
"Wednesday","11",0.024,51.461,2009-06-10,"Special Service","Greenwich","Lee Green",422,"Eltham","1122333124314",13,0.04
"Wednesday","12",0.03,51.463,2010-02-24,"False Alarm","Greenwich","Lee Green",307,"Lee Green","1122333124314",12,0.04
