Station,No. of first appliances,"First appliances, % <= 6 mins","First appliances, % late",No. of first appliances from other stations,"First appliances from other stations, % <= 6 mins","First appliances from other stations, % late",% late difference
Sutton,850,0.623529412,0.376470588,74,0.094594595,0.905405405,0.528934817
Leyton,503,0.88667992,0.11332008,57,0.421052632,0.578947368,0.465627289
Bow,431,0.874709977,0.125290023,80,0.625,0.375,0.249709977
Stratford,936,0.865384615,0.134615385,109,0.504587156,0.495412844,0.360797459
Walthamstow,890,0.739325843,0.260674157,202,0.415841584,0.584158416,0.323484259
Kingsland,616,0.897727273,0.102272727,90,0.7,0.3,0.197727273
Harrow,579,0.502590674,0.497409326,184,0.157608696,0.842391304,0.344981978
Tooting,1031,0.79243453,0.20756547,186,0.446236559,0.553763441,0.34619797
Plumstead,808,0.653465347,0.346534653,103,0.262135922,0.737864078,0.391329424
Kensington,678,0.851032448,0.148967552,220,0.577272727,0.422727273,0.273759721
Norbury,955,0.738219895,0.261780105,95,0.389473684,0.610526316,0.348746211
Surbiton,688,0.697674419,0.302325581,148,0.121621622,0.878378378,0.576052797
Croydon,1164,0.768900344,0.231099656,127,0.236220472,0.763779528,0.532679871
Southall,1081,0.655874191,0.344125809,120,0.191666667,0.808333333,0.464207524
Battersea,629,0.920508744,0.079491256,143,0.713286713,0.286713287,0.207222031
Shadwell,368,0.899456522,0.100543478,159,0.805031447,0.194968553,0.094425075
Knightsbridge,425,0.875294118,0.124705882,175,0.68,0.32,0.195294118
Lee Green,364,0.879120879,0.120879121,81,0.407407407,0.592592593,0.471713472
Sidcup,457,0.634573304,0.365426696,43,0.209302326,0.790697674,0.425270979
Millwall,273,0.915750916,0.084249084,76,0.526315789,0.473684211,0.389435126
Richmond,512,0.76171875,0.23828125,119,0.218487395,0.781512605,0.543231355
Woodside,517,0.628626692,0.371373308,168,0.351190476,0.648809524,0.277436216
Addington,485,0.72371134,0.27628866,37,0.081081081,0.918918919,0.642630259
West Hampstead,1030,0.733009709,0.266990291,155,0.387096774,0.612903226,0.345912935
Mill Hill,497,0.523138833,0.476861167,187,0.272727273,0.727272727,0.25041156
Woodford,338,0.74852071,0.25147929,103,0.145631068,0.854368932,0.602889642
Biggin Hill,106,0.462264151,0.537735849,26,0.076923077,0.923076923,0.385341074
Wennington,205,0.429268293,0.570731707,47,0.127659574,0.872340426,0.301608718
Park Royal,457,0.763676149,0.236323851,146,0.356164384,0.643835616,0.407511765
Plaistow,792,0.84469697,0.15530303,102,0.68627451,0.31372549,0.15842246
Bexley,491,0.6598778,0.3401222,93,0.311827957,0.688172043,0.348049843
West Norwood,996,0.764056225,0.235943775,90,0.266666667,0.733333333,0.497389558
Chingford,401,0.817955112,0.182044888,38,0.236842105,0.763157895,0.581113007
Finchley,717,0.588563459,0.411436541,111,0.162162162,0.837837838,0.426401297
Heston,818,0.700488998,0.299511002,82,0.207317073,0.792682927,0.493171924
Enfield,1188,0.489057239,0.510942761,130,0.1,0.9,0.389057239
Twickenham,615,0.487804878,0.512195122,172,0.151162791,0.848837209,0.336642087
Hendon,519,0.655105973,0.344894027,175,0.16,0.84,0.495105973
Bethnal Green,1012,0.911067194,0.088932806,276,0.663043478,0.336956522,0.248023715
Dockhead,380,0.839473684,0.160526316,150,0.493333333,0.506666667,0.346140351
Downham,508,0.742125984,0.257874016,126,0.412698413,0.587301587,0.329427572
Clapham,812,0.86453202,0.13546798,129,0.596899225,0.403100775,0.267632795
Northolt,770,0.620779221,0.379220779,95,0.168421053,0.831578947,0.452358168
Ruislip,532,0.345864662,0.654135338,156,0.108974359,0.891025641,0.236890303
New Cross,572,0.881118881,0.118881119,220,0.618181818,0.381818182,0.262937063
Barking,775,0.738064516,0.261935484,114,0.473684211,0.526315789,0.264380306
Eltham,377,0.734748011,0.265251989,158,0.360759494,0.639240506,0.373988517
Leytonstone,645,0.813953488,0.186046512,104,0.528846154,0.471153846,0.285107335
Beckenham,550,0.714545455,0.285454545,182,0.296703297,0.703296703,0.417842158
Wallington,375,0.634666667,0.365333333,99,0.282828283,0.717171717,0.351838384
Forest Hill,824,0.785194175,0.214805825,69,0.333333333,0.666666667,0.451860841
Chelsea,877,0.911060433,0.088939567,97,0.587628866,0.412371134,0.323431567
Harold Hill,397,0.811083123,0.188916877,107,0.457943925,0.542056075,0.353139198
Barnet,523,0.736137667,0.263862333,130,0.130769231,0.869230769,0.605368437
Hainault,296,0.662162162,0.337837838,80,0.2125,0.7875,0.449662162
Heathrow,654,0.408256881,0.591743119,195,0.338461538,0.661538462,0.069795342
Islington,570,0.810526316,0.189473684,206,0.665048544,0.334951456,0.145477772
Purley,376,0.598404255,0.401595745,79,0.113924051,0.886075949,0.484480205
New Malden,454,0.616740088,0.383259912,110,0.163636364,0.836363636,0.453103724
